org_id freebase_id
2789 9706
3790 12365
2815 1968
3056 1267
3334 14275
2355 10079
886 8428
930 3750
865 5087
1054 8245
3513 108
1442 11532
3805 642
2157 8209
599 12590
2777 10073
424 7342
1281 13354
2877 8161
2817 4742
786 5334
2778 6717
2985 2869
2230 7945
2035 4335
396 6877
2514 12950
132 2519
436 566
203 11070
1645 3046
3704 7960
1292 7816
2587 9065
3271 9346
3676 9491
1726 13699
614 11167
2813 14273
3440 14556
3082 11690
1563 14683
2466 9764
897 12451
3449 3717
1479 4023
3887 12661
3377 1194
2319 4992
86 3415
3274 6839
3468 8551
1529 14027
2394 12037
431 10750
1592 10549
3253 13738
2765 6239
1817 1115
3001 3284
1207 4419
184 2140
2554 6560
3578 10728
2155 10170
3531 300
1869 1483
2849 12330
639 5007
2029 5161
129 9020
2119 7413
3034 10724
2663 10345
1904 1403
3481 6140
831 7787
157 10344
1979 14695
2631 12333
3466 1996
837 8289
2011 5011
979 6489
252 10029
2331 6978
3602 4927
1378 4729
3868 3129
1893 2742
2501 302
1189 9187
2898 6851
611 8201
1124 9291
1639 13304
1649 12051
149 8494
3872 4443
32 11618
2785 6177
197 1339
2636 10881
103 5751
3447 7553
3359 12224
2489 6451
3354 6634
916 3344
1782 11604
2273 6794
1513 7185
1516 5638
48 12034
1070 4596
1914 5981
204 12219
719 5587
2122 3160
2990 14144
1892 10040
884 2055
1350 11280
3372 14053
2339 12643
3069 12458
1023 14088
375 897
919 10968
3496 11132
858 7212
988 5770
2455 10097
1995 5608
2382 10715
499 3342
2583 14631
3896 14379
1959 12935
877 6096
3422 12862
2052 5780
1596 808
1648 13569
551 3448
3759 13733
2173 293
893 13128
1051 11744
2733 4903
160 218
239 10011
1016 11801
2424 1108
2227 13546
3576 953
228 4841
3316 10114
880 2907
3903 559
2840 2821
3303 694
1271 4276
1087 11098
3088 7073
2946 14127
848 7928
2395 2139
2886 2178
452 630
557 8606
1719 1647
822 9753
3671 12547
2003 13841
3865 1777
1606 3740
1225 9482
3943 4330
3299 6718
3667 7707
3107 807
1269 7037
751 8105
3611 4388
3360 8439
2676 9192
2188 8347
341 3040
374 9638
3414 13822
2780 13055
3014 6397
1307 8226
3947 2792
2831 2886
2914 9310
2325 2333
2968 1981
2143 6019
2795 13094
613 8256
3795 12157
1832 5031
446 3626
387 8992
2267 1689
2687 10393
2442 10856
1564 10327
2081 6188
2181 4369
590 8232
2547 2635
3167 2993
3648 12566
43 13977
3665 13457
1704 3080
3808 6168
1948 13594
2182 11353
3938 12241
19 6774
2607 5133
1191 875
1105 4244
1517 4818
2217 10113
3325 38
3600 9711
1206 13821
1805 13919
1089 6477
2427 3364
3380 12597
3199 4493
1967 435
1173 4828
1285 8135
1975 10614
750 9671
3346 7878
2769 7729
469 2498
1586 13279
1445 6099
1424 1146
240 12496
2468 1254
529 10246
2162 8316
2552 4261
2158 11254
816 9940
181 11963
1668 5443
444 12575
3243 12142
3111 9735
345 11400
344 5093
1701 12827
122 7786
1973 677
1952 10932
3924 10238
1305 3862
1986 11863
3473 5119
2584 12211
309 13485
3445 4029
2961 12656
1908 13880
2094 11546
1163 9467
2662 291
3550 2087
1943 5370
3066 6799
1383 11731
1964 11246
2802 12463
2460 12911
74 7336
2236 9053
3421 4385
1136 10803
1793 13297
3831 12047
1063 7478
1794 2313
2070 3443
2841 4143
2294 10195
2381 4170
2486 9222
2873 10656
3694 3911
1528 12154
2997 7066
918 14531
3563 4456
1317 3810
2689 8622
3699 11793
1705 10908
3478 13198
1391 6982
3102 12217
2713 3316
2144 12648
729 1840
3469 13718
1235 8714
2928 3530
3638 1631
1143 6594
2044 10806
3338 9830
842 3764
3129 5010
2152 8291
2043 1820
1497 8905
1722 4650
1066 126
1162 8276
241 4263
1946 4993
706 7497
1460 5913
2238 9553
1646 14525
96 1569
1214 900
280 7926
762 6981
328 9121
90 5024
1960 9655
1734 3260
3063 9391
1266 9264
3020 6789
3375 11303
754 5958
1849 9110
1018 5414
1421 6604
383 6584
3631 11492
223 9018
828 7372
1499 6972
3348 5684
1042 8369
3480 13049
899 13584
1867 9885
1978 6700
530 14157
523 598
2739 4702
2674 3573
2518 1501
1272 5260
2494 6151
1404 5301
3168 7019
1739 10032
2889 6071
2315 5996
2721 5675
2268 1439
2954 1074
1175 8389
1091 6246
334 8178
1232 1294
745 5401
1373 10469
2361 14010
3110 9449
1247 14642
2982 4084
2086 4665
1010 13337
2944 531
2307 7730
3130 10473
1744 6843
2508 8224
2979 191
1078 10568
498 6535
2311 10102
3922 11794
3475 4861
3711 3603
1333 7482
2027 3482
3448 4097
198 6650
3735 10814
483 3083
3074 12516
3003 5004
118 5738
3109 9882
10 1056
3021 5808
997 4524
486 1346
1064 12491
8 10171
1627 2618
3398 8236
3724 10700
467 6619
517 1118
461 4856
2842 13201
1938 9134
2185 3761
937 115
2160 759
1665 9850
3345 10147
146 210
3720 14415
3038 13889
1747 9654
2727 1379
3342 6362
532 8474
1147 8983
1650 13459
340 650
1466 2117
1464 674
1918 2104
2450 12221
2825 1327
3071 9277
3347 1295
3812 4527
3252 1947
278 9858
3357 1010
3898 2203
3518 6989
421 13153
1294 11871
456 12995
1196 11966
3417 7544
734 10263
1929 2946
1029 2196
1345 11941
2571 1707
562 11251
2146 7461
1496 5163
2521 11739
2640 5445
1811 12455
507 9301
470 13779
581 13491
524 11598
1399 8080
881 14405
1355 433
903 858
217 3907
1880 3687
3257 9673
1657 4996
1569 284
1570 835
177 103
3454 5861
710 13243
1197 5815
2249 10209
725 12102
2136 14077
1365 10457
2167 6434
3400 6283
1401 9831
1472 903
2560 2031
1205 10563
1068 6530
1217 1895
2505 5498
1455 13991
1566 1948
296 7638
2306 7995
326 1488
3254 9300
641 9369
145 6810
3527 3765
1449 11614
3739 9136
500 7301
2259 4164
3127 3164
3435 5941
3262 6863
3491 10980
1509 9664
1221 10437
1352 1658
1950 7887
3471 10627
539 8215
3317 2544
1032 2968
353 10887
1311 14054
2622 1303
40 3050
3308 5542
2588 13877
3528 10357
2548 9690
3744 8639
2357 4535
1095 7131
1824 3821
3763 11543
2940 7438
304 2254
494 12468
1405 1243
2883 13265
3842 2461
1284 8782
1746 7234
1241 10454
1279 3290
1854 747
33 2226
2834 4242
1815 690
3830 7702
3094 1651
3639 3341
3664 10136
1826 5639
1085 1159
2297 918
1998 13472
2741 9227
1953 14439
2202 6527
1264 11281
1255 3634
1600 4782
1629 5509
162 6029
2837 1068
2379 3228
2151 4240
2082 10152
3275 11957
3460 5789
779 1605
602 13003
2891 8233
3798 318
1769 13147
2653 2311
3845 13705
2574 767
2851 6233
3657 2674
3046 7694
2755 2629
1742 295
3115 3662
1188 5384
3834 2920
1772 5538
2666 4190
400 5083
2901 5040
2474 4120
3837 8378
3331 1183
662 10282
3755 9303
3441 11976
3678 13249
3821 1691
3036 1926
2827 9727
1585 5059
3078 11735
2986 9321
384 8277
2314 7155
2528 14042
2550 2153
64 4121
3076 4546
3555 764
3537 4934
2773 6734
2682 3659
1547 3085
2391 3534
3543 14412
2541 10460
3640 14168
1750 196
3285 3360
291 7404
2978 14022
208 5569
3269 7250
1256 106
2038 2255
3101 6969
3614 2691
3029 11549
3616 12559
349 2367
464 12121
6 12873
3859 10233
1252 7380
67 2420
1662 10928
1025 11533
1807 2714
3425 11335
487 1742
3185 8524
853 9634
2783 9582
2014 13783
1939 401
3244 4005
1723 11745
2734 3109
3206 7901
2366 11712
1643 2690
950 1122
944 9633
759 8477
2770 13540
3457 1718
846 4972
3773 11495
1127 11531
170 10551
920 1915
3725 8700
1476 4793
1387 12344
1672 7609
1171 7183
902 5364
3866 2491
2349 2814
2835 5434
989 4446
3945 11106
31 2358
2848 13710
3479 12366
314 9271
535 2146
2320 2435
385 10203
3596 4713
2569 2917
1181 13682
2154 9304
2443 5759
195 3350
216 14240
1295 8916
2485 7358
2359 13047
2150 4821
3283 12025
1783 3170
1554 7547
1287 5229
1003 3226
3304 14595
1020 13084
336 12621
2965 29
1594 8195
3321 6940
3908 5280
493 11268
2323 9096
514 4486
2400 13345
3553 6635
815 7015
429 4104
219 11113
2679 2646
913 12203
1912 4332
3713 6746
2009 8897
630 11402
1965 2517
3835 1939
2436 11670
2711 13553
1669 2416
1178 2082
905 4881
3410 7108
71 7116
1304 6037
3438 14637
2195 880
3502 11675
2123 7659
24 5522
2057 5150
684 11754
2725 3034
3613 2887
371 5535
1500 1581
2487 1112
1755 11121
2710 4791
508 7202
22 8632
3911 10006
1798 3538
3745 10089
1289 239
1989 6984
1414 6328
168 12753
3049 9696
3300 12244
2221 11650
1507 9028
3044 7313
850 1572
3860 12470
3758 14608
1565 6399
3098 13860
2078 11879
1762 3144
3783 3233
2857 5048
225 2278
2121 10190
382 2910
3571 12921
2397 1268
2759 6683
1236 13175
1963 12608
3511 14228
