org_id remap_id freebase_id
1968 0 10139
1267 1 6396
457 2 1522
1791 4 7039
2368 5 5379
2706 7 11220
108 9 9794
1390 11 13595
483 12 3083
2927 15 12297
3045 16 1202
218 18 13807
1199 20 4753
831 21 7787
1128 22 8841
1286 24 3256
2896 26 12125
3046 27 7694
2596 29 1988
3008 32 952
2190 33 14335
1170 34 2921
256 36 47
1157 37 2677
1507 38 9028
1194 39 12647
2062 40 1999
833 41 11894
1115 45 8699
209 46 13846
2140 47 12587
927 48 8168
950 49 1122
3166 50 8315
3094 51 1651
280 52 7926
2458 53 1884
2097 54 10098
300 55 10438
1483 56 12044
1061 57 8194
653 58 2625
800 59 458
3026 61 10277
556 62 8050
277 63 13967
1379 64 14649
2203 67 4670
542 68 5322
3100 69 2601
1996 70 9800
2329 71 12403
402 72 1081
2076 73 7145
1479 74 4023
3225 75 7275
132 76 2519
3125 78 9860
2848 79 13710
1206 80 13821
110 82 6141
3129 83 5010
2883 85 13265
2163 86 5008
2272 87 12577
936 88 7314
3189 89 5339
1043 90 14249
508 91 7202
1729 92 14201
1382 93 12367
1339 94 2861
2308 97 12688
999 98 2919
575 99 11015
1428 100 7566
1897 101 10885
312 102 14476
1732 103 13259
3160 106 7064
3222 107 9774
627 108 5349
1966 109 14367
909 111 2822
3255 112 8731
897 114 12451
249 115 7165
2043 119 1820
33 120 2226
228 121 4841
487 122 1742
808 123 2275
1224 124 3197
1758 125 6749
1599 128 10003
2337 130 10054
2024 131 10756
2497 132 3802
2818 134 8060
2292 135 10319
953 137 1044
2907 138 10286
559 139 11944
75 140 2201
1484 141 4511
2426 142 14002
2139 143 13093
2178 144 8918
630 145 11402
2387 146 12913
2441 147 873
1647 148 4375
423 149 101
1777 150 6599
1341 152 9987
1292 153 7816
2978 154 14022
326 155 1488
942 156 1803
3199 157 4493
438 158 5337
2054 159 12985
2737 162 3261
2835 163 5434
1929 164 2946
2598 165 4556
2410 166 1431
2886 167 2178
992 168 4723
2169 169 1455
2333 170 13442
1981 171 10975
1616 172 7024
1689 173 11025
3157 174 2948
237 175 2535
1287 176 5229
870 177 11789
2466 179 9764
2635 180 10117
2993 181 7044
2376 184 8011
3015 185 5154
1846 186 13580
1257 187 165
3088 188 7073
737 189 11111
1126 190 1805
875 191 13303
586 192 9604
1695 193 2693
38 194 4843
261 196 9531
2810 198 4787
435 199 7025
1160 201 9179
113 202 6787
1882 203 5192
98 204 7176
1862 205 9819
1334 207 1309
1760 208 10628
372 209 14166
2953 210 6637
2974 212 2944
212 213 5754
2498 214 3822
151 215 8730
2884 216 12983
1081 218 12111
2669 219 1470
87 220 8111
1254 221 4297
2259 222 4164
3030 225 13781
50 226 10617
1978 227 6700
2533 228 13196
2058 231 4179
1399 232 8080
1169 233 3003
2724 234 11880
1453 236 2267
1857 237 1964
902 238 5364
55 239 5612
2004 240 6483
957 241 1178
344 242 5093
2137 243 10358
3072 244 12840
2735 245 10736
1468 247 6446
3022 248 203
2087 249 430
1940 253 4614
2432 254 14170
2297 255 918
2558 257 11509
238 258 252
1076 259 10132
1671 260 6371
1291 261 5657
2313 262 9092
1749 263 726
1143 266 6594
1923 267 3417
1674 268 9859
926 269 4061
680 271 8430
921 272 10240
2617 273 963
454 274 5348
2510 275 9233
114 276 10374
626 277 11523
2078 278 11879
1313 280 7855
1840 281 2501
868 283 10510
1631 284 13086
96 285 1569
824 286 4184
3151 287 180
1820 289 7843
126 291 9560
465 292 12970
1219 294 5285
2145 296 10045
661 297 8609
816 298 9940
2264 299 8331
69 300 13883
2287 301 7666
1089 303 6477
900 304 13409
1569 305 284
2718 306 8879
3074 307 12516
923 308 4401
2228 309 6430
1917 313 8638
1232 314 1294
1703 316 9498
461 317 4856
352 318 388
3079 319 1408
1361 320 12839
2009 321 8897
2029 322 5161
852 323 7907
2347 324 85
2689 325 8622
1513 326 7185
529 327 10246
2607 329 5133
1236 330 13175
213 331 8200
1501 332 8728
2847 333 14358
1439 335 1855
1055 337 14453
2769 338 7729
1294 339 11871
473 340 5678
2059 341 10163
365 342 11157
1953 343 14439
501 345 1930
1676 346 7594
2261 347 2309
2918 348 14674
531 349 11671
470 350 13779
2392 351 141
2167 352 6434
2738 354 5849
2107 356 919
191 358 9749
1015 359 13064
3105 361 1032
66 362 11818
2402 363 7839
3083 364 7993
36 366 8096
2688 367 11016
2477 368 4636
1685 369 9329
525 370 3288
311 371 2547
888 373 4557
1056 374 1405
1346 375 11288
2618 376 2460
225 377 2278
955 378 7291
1328 379 5367
1363 380 1180
838 382 2002
115 384 13925
759 385 8477
359 386 6056
2234 388 6647
2061 389 2161
81 391 9977
1603 393 10735
650 394 3343
2280 396 4481
2117 397 7536
2040 398 8692
2104 400 6514
998 401 12417
1327 402 2109
1295 403 8916
1193 404 2348
685 405 8931
381 406 13972
1679 407 9687
2464 408 1154
1947 409 13602
1010 411 13337
1350 412 11280
1094 413 8962
2766 414 2961
2229 415 8424
3198 417 6821
2143 418 6019
948 419 3030
996 420 7681
200 422 10991
1668 423 5443
1888 424 3265
898 425 9808
2946 426 14127
2514 427 12950
2196 428 1019
1994 429 7407
2600 430 14493
2951 432 5042
1707 433 8514
2092 434 10701
349 436 2367
805 437 1116
1499 438 6972
569 439 7159
2999 441 2703
433 442 3730
858 443 7212
2526 444 5143
166 445 9143
2634 446 2322
519 447 4168
147 448 13418
695 450 5930
2418 451 1387
2716 452 6271
2891 453 8233
3203 454 2242
2060 455 12033
882 456 13179
835 458 13097
103 459 5751
499 460 3342
861 461 4842
669 462 5782
500 463 7301
2996 464 2839
1568 466 1571
903 468 858
