org_id freebase_id
781 5474
1799 9337
521 8520
3596 4713
3682 14676
2635 10117
1590 13330
116 11270
3719 2503
3811 11520
3801 14123
2173 293
2908 13989
2816 4797
2243 12684
3553 6635
3344 7500
2095 3020
2 9466
2950 12276
1705 10908
785 5945
3861 12283
3942 6732
2005 7065
2636 10881
834 2820
392 4337
117 5496
162 6029
2263 5554
3802 3013
2682 3659
1727 3805
2244 5162
3218 1228
3812 4527
3943 4330
692 1904
2521 11739
3548 1165
934 5653
3 4013
2245 3300
3094 1651
1577 865
2174 9895
1445 6099
1707 8514
1921 6644
522 13112
2000 837
3345 10147
2134 4760
3549 10236
552 5271
1728 3411
3944 11467
2951 5042
1178 2082
2763 10178
2817 4742
3813 7571
118 5738
3862 3766
2522 6084
2683 3074
3037 10957
517 1118
1483 12044
1446 10271
2520 4136
3462 10218
523 598
2247 12339
2024 10756
3683 8920
119 9472
2310 14393
1729 14201
388 12989
2555 13570
3424 7402
1623 10022
3945 11106
3038 13889
3219 13671
1434 10594
3555 764
3346 7878
251 2423
1876 8552
2248 13729
2779 12004
1350 11280
120 9959
3166 8315
935 7233
2001 9219
1046 8668
1015 13064
2818 8060
3425 11335
1484 4511
913 12203
1730 12291
782 2867
440 13799
1447 8368
2096 7195
1217 1895
2264 8331
121 9778
299 9288
3556 3962
1579 10960
2953 6637
2135 2212
518 12357
936 7314
1731 4488
3803 11726
2437 14241
2392 141
2819 11597
2002 6706
3039 3817
390 6572
2556 12650
1591 8043
1711 12651
3347 1295
3167 2993
914 5085
1624 658
1047 9128
519 4168
3295 14095
300 10438
1437 6095
3557 8188
1801 14627
2097 10098
524 11598
391 2640
3426 2788
554 1733
1732 13259
3804 5476
2438 1307
3168 7019
1713 14051
3348 5684
1449 11614
2764 4183
3597 8884
4 13328
520 1918
301 6097
1049 10309
1438 1042
28 6444
1179 3964
252 10029
3221 2126
2523 13289
2765 6239
1804 4745
3427 10259
3805 642
442 8970
2006 11575
1293 5781
2439 1699
525 3288
253 13460
555 14680
1733 14238
2249 10209
835 13097
3169 10128
1715 10294
3720 14415
2393 31
1016 11801
29 5614
5 4871
3806 12615
3463 6156
2524 8981
254 14118
443 9893
786 5334
2250 8516
556 8050
3684 3508
2638 7472
937 115
393 5421
2098 3028
2007 271
30 14147
3946 6900
1050 9386
3464 8187
1439 1855
1734 3260
444 12575
3807 8314
3296 1771
163 5777
255 4892
2394 12037
938 9644
2639 5298
3685 8790
1485 13251
2099 4545
1922 6225
1453 2267
2003 13841
1093 7790
132 2519
1717 13890
31 2358
2265 11081
2766 2961
3863 9611
1051 11744
3808 6168
2440 10322
1294 11871
445 13228
1311 14054
3550 2087
557 8606
3297 10065
2004 6483
3465 4503
2395 2139
1580 13836
164 3237
2650 3492
2767 5283
939 1678
1052 91
122 7786
1923 3417
394 8173
3809 8695
3298 10751
836 5744
783 6306
2558 11509
527 11194
3551 427
1094 8962
2266 12005
1581 8422
3097 2022
787 12338
2768 14652
2176 11380
2009 8897
915 6836
32 11618
2396 13331
1017 7828
2136 14077
2954 1074
3810 5592
1351 13691
2651 7012
1582 14232
1053 13169
2441 873
1718 6449
3299 6718
165 2088
3947 2792
2267 1689
3466 1996
1295 8916
3686 10813
446 3626
1583 8678
3559 7577
1486 9908
2100 2524
1313 7855
2025 12814
125 7454
2780 13055
3721 3179
1719 1647
3814 4963
1095 7131
1296 592
2652 13629
784 14455
33 2226
916 3344
3552 10144
1219 5285
1054 8245
256 47
2311 10102
2268 1439
558 9810
1440 11000
653 2625
303 10689
2252 3716
3300 12244
2101 3718
2442 10856
396 6877
1297 2554
166 9143
2912 14457
126 9560
3865 1777
2397 1268
257 4205
2177 5078
1314 2578
2955 135
2781 9817
1018 5414
1352 1658
1055 14453
2026 11347
2269 7451
2640 5445
1625 11896
263 3648
258 605
1096 424
3173 4515
2103 40
2820 5074
1592 10549
2769 7729
167 11407
3428 11882
2770 13540
3598 3474
2913 6582
129 9020
2956 8715
3561 2671
2771 6186
1353 2362
3301 12691
2641 8913
2312 6506
135 3061
1299 12939
304 2254
2270 8399
2642 10068
940 9274
1878 2014
2104 6514
1805 13919
2525 2572
1300 13487
1097 4006
265 14647
1584 13009
694 2769
2653 2311
1441 1985
559 11944
2137 10358
2643 6671
2687 10393
2271 7364
2253 6838
2443 5759
3687 1422
3948 10264
3222 9774
3040 11426
1585 5059
3467 12851
1056 1405
2772 11510
168 12753
266 4028
1301 6319
3599 12505
2138 9130
1721 13694
1354 3357
2272 12577
1442 11532
2444 12166
1181 13682
1020 13084
3600 9711
1302 4672
1735 12881
169 752
259 11810
2782 13415
1626 4764
2773 6734
1057 189
2821 10231
3949 5623
3223 6148
1586 13279
2010 9492
2688 11016
2105 13100
1183 14300
1487 728
1722 4650
3041 459
1220 4952
2774 654
788 11490
2559 2561
1303 12770
528 4406
837 8289
3950 2448
3042 3845
3601 6988
2106 1549
3302 11316
2178 8918
260 6726
1593 13371
3866 2491
1304 6037
2273 6794
2313 9092
2011 5011
3951 195
3224 11031
1317 3810
130 9360
2689 8622
1184 13057
2107 919
695 5930
1739 10032
1021 1136
2560 2031
1305 3862
2398 4599
447 6673
2108 13910
2012 7118
1306 1943
529 10246
3350 1256
2254 7794
1318 14568
696 2880
2109 1284
2783 9582
3225 7275
1185 14333
131 4257
3602 4927
2275 2325
1307 8226
1627 2618
790 10877
2255 10876
3868 3129
3174 10207
2110 150
3723 174
530 14157
697 4669
2644 1463
3603 118
267 6232
1587 4310
34 13785
3175 5485
261 9531
2445 14125
2276 10116
1723 11745
3468 8551
1186 10963
1309 5923
1628 7810
1454 11045
2775 1085
2179 6767
1879 13537
