org_id remap_id freebase_id
1705 3 10908
2280 8 4481
117 11 5496
523 18 598
2682 22 3659
1061 28 8194
3223 34 6148
558 37 9810
2396 39 13331
442 47 8970
1023 55 14088
1350 72 11280
1035 73 11238
782 75 2867
267 82 6232
266 84 4028
1457 85 2335
2919 97 7274
122 101 7786
1715 103 10294
2763 113 10178
787 114 12338
2111 117 12222
1057 125 189
1811 127 12455
837 135 8289
1101 136 1700
1187 148 4548
2112 149 12711
1036 152 13061
1351 159 13691
1488 163 6766
1490 167 12552
1026 170 6653
2399 178 7315
1727 179 3805
3040 181 11426
1223 190 3723
1047 194 9128
3236 199 8936
1062 200 11919
520 201 1918
563 204 4067
2443 208 5759
301 212 6097
943 213 3780
1437 221 6095
1310 222 7324
1217 236 1895
1095 240 7131
2032 242 1344
2312 243 6506
2174 244 9895
2774 265 654
1330 267 10153
272 272 4402
2783 278 9582
2957 279 3052
1352 282 1658
138 290 11103
1034 291 12325
2647 300 1938
1024 308 1177
3231 309 6103
2653 313 2311
2261 314 2309
2096 325 7195
2138 332 9130
919 336 10968
2110 339 150
2691 340 13575
2001 343 9219
2527 344 8014
119 346 9472
1879 349 13537
838 354 2002
1439 358 1855
306 359 7879
265 365 14647
2006 368 11575
3050 378 4351
1303 380 12770
2397 381 1268
653 384 2625
2317 387 3957
2249 389 10209
168 390 12753
2266 391 12005
1749 392 726
2520 408 4136
1191 411 875
1033 415 9852
1016 416 11801
2767 419 5283
2140 421 12587
394 422 8173
2442 427 10856
2267 430 1689
518 439 12357
2764 444 4183
918 445 14531
1594 447 8195
451 450 11748
1631 456 13086
692 460 1904
1442 463 11532
2129 464 3584
1596 468 808
517 469 1118
2956 472 8715
2651 483 7012
2116 484 6831
304 501 2254
1189 502 9187
1102 504 13192
564 520 8488
1707 524 8514
2316 528 4233
2642 530 10068
141 534 319
2392 538 141
1814 551 13203
1094 552 8962
1193 554 2348
1044 563 8484
2011 564 5011
1923 565 3417
1225 572 9482
1580 580 13836
1178 584 2082
1732 585 13259
2524 588 8981
2439 597 1699
130 604 9360
2128 606 12845
1801 610 14627
1734 614 3260
258 615 605
1748 616 13542
2314 617 7155
566 618 4887
2244 620 5162
2437 630 14241
2113 631 6598
2029 643 5161
557 653 8606
263 656 3648
310 661 10399
1029 667 2196
2772 672 11510
835 676 13097
2816 678 4797
2313 694 9092
2641 697 8913
1053 712 13169
3222 719 9774
1356 720 2451
1052 728 91
1222 730 407
2689 733 8622
657 738 3174
170 746 10551
2635 757 10117
2015 761 788
521 763 8520
2955 768 135
259 775 11810
251 782 2423
2136 783 14077
1446 784 10271
1049 785 10309
796 786 12719
2123 791 7659
696 795 2880
139 799 12180
841 802 10871
2103 808 40
2768 809 14652
1294 811 11871
559 816 11944
1040 819 9036
834 820 2820
1584 821 13009
2648 822 7922
2134 831 4760
1454 834 11045
2441 844 873
1581 847 8422
3225 850 7275
1455 851 13991
1050 852 9386
839 853 12381
2279 854 513
1032 856 2968
171 858 10969
1585 864 5059
1020 878 13084
2119 887 7413
784 892 14455
2683 900 3074
1722 902 4650
1190 906 5202
1883 921 5620
1360 924 2832
2522 926 6084
2106 928 1549
935 938 7233
3097 946 2022
443 947 9893
2395 948 2139
2281 952 4197
313 956 12476
390 958 6572
939 959 1678
1711 969 12651
1586 976 13279
120 980 9959
2114 983 705
790 987 10877
1878 1001 2014
2097 1003 10098
1718 1006 6449
165 1008 2088
913 1009 12203
1590 1012 13330
2817 1016 4742
842 1020 3764
2250 1021 8516
1293 1022 5781
2269 1024 7451
2771 1028 6186
1453 1040 2267
3230 1046 10930
2315 1059 5996
3099 1060 5129
256 1069 47
1226 1090 13786
1042 1092 8369
32 1098 11618
1027 1102 7214
6 1108 12873
2915 1116 2686
2402 1117 7839
1096 1141 424
2009 1142 8897
1484 1150 4511
2180 1158 1544
1361 1169 12839
1185 1177 14333
783 1184 6306
261 1191 9531
2526 1193 5143
118 1195 5738
2271 1198 7364
1456 1203 2851
3038 1204 13889
2687 1209 10393
2181 1211 4369
1810 1216 12032
1485 1222 13251
2124 1228 13178
29 1238 5614
840 1239 13421
8 1269 10171
2636 1270 10881
2693 1271 1291
2272 1277 12577
1487 1284 728
1815 1292 690
2521 1294 11739
1297 1298 2554
2109 1305 1284
2769 1311 7729
567 1314 3115
1809 1321 9609
2104 1325 6514
307 1328 202
4 1341 13328
2273 1344 6794
2920 1347 9672
1591 1348 8043
2640 1349 5445
1587 1350 4310
2182 1351 11353
2950 1360 12276
1318 1364 14568
2178 1375 8918
2779 1391 12004
2824 1396 4756
35 1398 13848
3100 1404 2601
1729 1407 14201
169 1411 752
1307 1415 8226
1329 1419 13854
1221 1425 10437
1598 1431 5420
1100 1432 4504
2118 1433 4810
1807 1435 2714
2819 1443 11597
3174 1447 10207
1483 1450 12044
1449 1453 11614
1051 1467 11744
2025 1473 12814
2393 1475 31
938 1478 9644
527 1495 11194
1747 1496 9654
942 1498 1803
2960 1499 6895
303 1501 10689
3045 1507 1202
143 1513 14048
1093 1514 7790
2028 1517 11086
299 1518 9288
1227 1522 6903
2268 1523 1439
2914 1525 9310
522 1528 13112
554 1534 1733
1304 1537 6037
1309 1539 5923
2177 1547 5078
1805 1551 13919
525 1553 3288
2125 1556 3287
1589 1560 4783
1733 1562 14238
1577 1565 865
1311 1569 14054
2010 1572 9492
2310 1577 14393
252 1578 10029
1056 1591 1405
448 1595 6287
785 1599 5945
1313 1606 7855
2007 1614 271
2 1623 9466
2248 1625 13729
1018 1628 5414
129 1630 9020
1228 1637 1976
656 1642 10725
1046 1645 8668
1629 1646 5509
3042 1653 3845
392 1662 4337
2820 1663 5074
2560 1666 2031
1721 1667 13694
2922 1668 4478
1713 1678 14051
162 1684 6029
1054 1688 8245
447 1693 6673
2033 1700 2663
3176 1713 12215
449 1717 11908
3037 1723 10957
1326 1728 3487
937 1729 115
1597 1730 881
1015 1733 13064
1104 1745 1795
694 1746 2769
2133 1751 5999
1192 1753 12751
2283 1756 4989
2645 1758 772
444 1760 12575
1224 1767 3197
271 1781 947
2130 1784 2557
2638 1797 7472
1804 1804 4745
1317 1807 3810
3046 1809 7694
934 1817 5653
255 1822 4892
1881 1826 6906
3232 1832 2260
2254 1833 7794
1179 1835 3964
399 1841 4968
254 1842 14118
1441 1845 1985
3044 1852 7313
2095 1854 3020
260 1856 6726
2245 1862 3300
1045 1864 8026
2400 1874 13345
1880 1876 3687
781 1878 5474
3101 1879 6969
2282 1880 6069
3043 1883 7876
1355 1890 433
1742 1918 295
2773 1922 6734
1017 1925 7828
3221 1929 2126
1744 1931 6843
1323 1955 1797
1583 1956 8678
2262 1962 2518
916 1963 3344
1921 1964 6644
695 1965 5930
1623 1966 10022
1626 1971 4764
1438 1972 1042
2959 1979 6807
2264 1983 8331
1030 1989 3924
1627 1991 2618
1300 1993 13487
137 1998 8840
2259 2000 4164
2953 2006 6637
2690 2007 3594
2438 2008 1307
2117 2018 7536
2139 2021 13093
1922 2035 6225
1806 2037 9625
2528 2041 14042
388 2045 12989
3169 2049 10128
396 2051 6877
1302 2054 4672
2013 2056 7718
1306 2057 1943
312 2058 14476
1882 2063 5192
1295 2070 8916
2031 2074 10416
30 2080 14147
1043 2085 14249
2788 2086 6928
2176 2087 11380
163 2092 5777
2654 2094 9584
253 2100 13460
3166 2102 8315
2440 2103 10322
2789 2106 9706
1723 2115 11745
530 2123 14157
792 2133 13002
1728 2135 3411
2688 2137 11016
1884 2139 5205
3094 2141 1651
3233 2142 3953
788 2153 11490
2252 2154 3716
1314 2166 2578
1724 2168 10655
2765 2171 6239
2646 2179 11374
1440 2186 11000
2275 2188 2325
2311 2194 10102
2014 2196 13783
2778 2197 6717
1301 2208 6319
3052 2211 14192
2026 2225 11347
2643 2238 6671
1717 2246 13890
1434 2253 10594
3229 2254 3196
36 2258 8096
1926 2260 7450
529 2263 10246
2142 2269 10361
2107 2276 919
2650 2277 3492
2105 2279 13100
257 2284 4205
3048 2286 7827
270 2298 356
1726 2304 13699
2918 2311 14674
126 2316 9560
2278 2317 933
3218 2318 1228
2401 2320 10589
2135 2321 2212
3175 2335 5485
1625 2337 11896
2561 2342 7895
2265 2343 11081
1447 2348 8368
2921 2351 4199
786 2352 5334
1927 2353 207
2002 2355 6706
314 2358 9271
2247 2359 12339
2644 2361 1463
2100 2372 2524
1181 2377 13682
1735 2378 12881
393 2381 5421
2255 2401 10876
2000 2402 837
28 2408 6444
2101 2411 3718
565 2414 5637
2559 2416 2561
1325 2421 10545
2912 2423 14457
440 2428 13799
3177 2429 12435
1595 2443 2360
3168 2448 7019
1324 2450 13867
2256 2456 7578
1799 2457 9337
528 2458 4406
2523 2460 13289
3049 2461 9696
2821 2463 10231
1885 2474 4022
1305 2480 3862
1359 2489 12620
2004 2490 6483
2782 2491 13415
1876 2493 8552
2652 2496 13629
2257 2498 10905
3039 2500 3817
562 2501 11251
940 2505 9274
914 2507 5085
2099 2512 4545
1184 2514 13057
2098 2519 3028
2692 2522 8726
1321 2529 12623
1038 2537 14084
132 2543 2519
1579 2545 10960
2108 2550 13910
1327 2571 2109
2132 2574 2042
2016 2577 14134
131 2587 4257
836 2597 5744
1025 2598 11533
5 2599 4871
524 2600 11598
1445 2607 6099
552 2626 5271
1493 2627 6559
1328 2631 5367
311 2637 2547
308 2639 11227
3219 2641 13671
1582 2647 14232
116 2648 11270
2122 2650 3160
2137 2652 10358
1021 2655 1136
1103 2657 6943
2913 2658 6582
1322 2662 13069
2908 2666 13989
1055 2668 14453
697 2673 4669
3098 2674 13860
3224 2683 11031
166 2691 9143
1624 2694 658
2005 2696 7065
2012 2697 7118
2780 2698 13055
2525 2699 2572
34 2708 13785
2555 2711 13570
698 2712 3373
33 2716 2226
1060 2719 11478
167 2723 11407
2446 2727 13776
3051 2732 2114
1022 2734 4220
1299 2737 12939
